[2026-03-16T06:37:39.279+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-16T06:37:28.045113+00:00 [queued]>
[2026-03-16T06:37:39.325+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-16T06:37:28.045113+00:00 [queued]>
[2026-03-16T06:37:39.327+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-16T06:37:39.594+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-16 06:37:28.045113+00:00
[2026-03-16T06:37:39.618+0000] {standard_task_runner.py:60} INFO - Started process 264 to run task
[2026-03-16T06:37:39.648+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'manual__2026-03-16T06:37:28.045113+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmpr3ncli5t']
[2026-03-16T06:37:39.660+0000] {standard_task_runner.py:88} INFO - Job 18: Subtask extract_bronze_layer
[2026-03-16T06:37:40.245+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-16T06:37:40.449+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-16T06:37:28.045113+00:00 [running]> on host 5cd4b14e09d8
[2026-03-16T06:39:27.083+0000] {subprocess.py:93} INFO - Página 8 buscada. Total de cervejarias até agora: 400
[2026-03-16T06:39:27.084+0000] {subprocess.py:93} INFO - Página 9 buscada. Total de cervejarias até agora: 450
[2026-03-16T06:39:27.084+0000] {subprocess.py:93} INFO - Página 10 buscada. Total de cervejarias até agora: 500
[2026-03-16T06:39:27.085+0000] {subprocess.py:93} INFO - Página 11 buscada. Total de cervejarias até agora: 550
[2026-03-16T06:39:27.085+0000] {subprocess.py:93} INFO - Página 12 buscada. Total de cervejarias até agora: 600
[2026-03-16T06:39:27.101+0000] {subprocess.py:93} INFO - Página 13 buscada. Total de cervejarias até agora: 650
[2026-03-16T06:39:27.102+0000] {subprocess.py:93} INFO - Página 14 buscada. Total de cervejarias até agora: 700
[2026-03-16T06:39:27.103+0000] {subprocess.py:93} INFO - Página 15 buscada. Total de cervejarias até agora: 750
[2026-03-16T06:39:27.103+0000] {subprocess.py:93} INFO - Página 16 buscada. Total de cervejarias até agora: 800
[2026-03-16T06:39:27.104+0000] {subprocess.py:93} INFO - Página 17 buscada. Total de cervejarias até agora: 850
[2026-03-16T06:39:27.105+0000] {subprocess.py:93} INFO - Página 18 buscada. Total de cervejarias até agora: 900
[2026-03-16T06:39:27.105+0000] {subprocess.py:93} INFO - Página 19 buscada. Total de cervejarias até agora: 950
[2026-03-16T06:39:27.106+0000] {subprocess.py:93} INFO - Página 20 buscada. Total de cervejarias até agora: 1000
[2026-03-16T06:39:27.107+0000] {subprocess.py:93} INFO - Página 21 buscada. Total de cervejarias até agora: 1050
[2026-03-16T06:39:27.107+0000] {subprocess.py:93} INFO - Página 22 buscada. Total de cervejarias até agora: 1100
[2026-03-16T06:39:27.108+0000] {subprocess.py:93} INFO - Página 23 buscada. Total de cervejarias até agora: 1150
[2026-03-16T06:39:27.108+0000] {subprocess.py:93} INFO - Página 24 buscada. Total de cervejarias até agora: 1200
[2026-03-16T06:39:27.109+0000] {subprocess.py:93} INFO - Página 25 buscada. Total de cervejarias até agora: 1250
[2026-03-16T06:39:27.110+0000] {subprocess.py:93} INFO - Página 26 buscada. Total de cervejarias até agora: 1300
[2026-03-16T06:39:27.110+0000] {subprocess.py:93} INFO - Página 27 buscada. Total de cervejarias até agora: 1350
[2026-03-16T06:39:27.111+0000] {subprocess.py:93} INFO - Página 28 buscada. Total de cervejarias até agora: 1400
[2026-03-16T06:39:27.111+0000] {subprocess.py:93} INFO - Página 29 buscada. Total de cervejarias até agora: 1450
[2026-03-16T06:39:27.112+0000] {subprocess.py:93} INFO - Página 30 buscada. Total de cervejarias até agora: 1500
[2026-03-16T06:39:27.113+0000] {subprocess.py:93} INFO - Página 31 buscada. Total de cervejarias até agora: 1550
[2026-03-16T06:39:27.113+0000] {subprocess.py:93} INFO - Página 32 buscada. Total de cervejarias até agora: 1600
[2026-03-16T06:39:27.113+0000] {subprocess.py:93} INFO - Página 33 buscada. Total de cervejarias até agora: 1650
[2026-03-16T06:39:27.114+0000] {subprocess.py:93} INFO - Página 34 buscada. Total de cervejarias até agora: 1700
[2026-03-16T06:39:27.114+0000] {subprocess.py:93} INFO - Página 35 buscada. Total de cervejarias até agora: 1750
[2026-03-16T06:39:27.114+0000] {subprocess.py:93} INFO - Página 36 buscada. Total de cervejarias até agora: 1800
[2026-03-16T06:39:27.115+0000] {subprocess.py:93} INFO - Página 37 buscada. Total de cervejarias até agora: 1850
[2026-03-16T06:39:27.115+0000] {subprocess.py:93} INFO - Página 38 buscada. Total de cervejarias até agora: 1900
[2026-03-16T06:39:27.115+0000] {subprocess.py:93} INFO - Página 39 buscada. Total de cervejarias até agora: 1950
[2026-03-16T06:39:27.116+0000] {subprocess.py:93} INFO - Página 40 buscada. Total de cervejarias até agora: 2000
[2026-03-16T06:39:27.116+0000] {subprocess.py:93} INFO - Página 41 buscada. Total de cervejarias até agora: 2050
[2026-03-16T06:39:27.116+0000] {subprocess.py:93} INFO - Página 42 buscada. Total de cervejarias até agora: 2100
[2026-03-16T06:39:27.117+0000] {subprocess.py:93} INFO - Página 43 buscada. Total de cervejarias até agora: 2150
[2026-03-16T06:39:27.117+0000] {subprocess.py:93} INFO - Página 44 buscada. Total de cervejarias até agora: 2200
[2026-03-16T06:39:27.118+0000] {subprocess.py:93} INFO - Página 45 buscada. Total de cervejarias até agora: 2250
[2026-03-16T06:39:27.118+0000] {subprocess.py:93} INFO - Página 46 buscada. Total de cervejarias até agora: 2300
[2026-03-16T06:39:27.119+0000] {subprocess.py:93} INFO - Página 47 buscada. Total de cervejarias até agora: 2350
[2026-03-16T06:39:27.119+0000] {subprocess.py:93} INFO - Página 48 buscada. Total de cervejarias até agora: 2400
[2026-03-16T06:39:27.120+0000] {subprocess.py:93} INFO - Página 49 buscada. Total de cervejarias até agora: 2450
[2026-03-16T06:39:27.120+0000] {subprocess.py:93} INFO - Página 50 buscada. Total de cervejarias até agora: 2500
[2026-03-16T06:39:27.120+0000] {subprocess.py:93} INFO - Página 51 buscada. Total de cervejarias até agora: 2550
[2026-03-16T06:39:27.121+0000] {subprocess.py:93} INFO - Página 52 buscada. Total de cervejarias até agora: 2600
[2026-03-16T06:39:27.121+0000] {subprocess.py:93} INFO - Página 53 buscada. Total de cervejarias até agora: 2650
[2026-03-16T06:39:27.121+0000] {subprocess.py:93} INFO - Página 54 buscada. Total de cervejarias até agora: 2700
[2026-03-16T06:39:27.121+0000] {subprocess.py:93} INFO - Página 55 buscada. Total de cervejarias até agora: 2750
[2026-03-16T06:39:27.122+0000] {subprocess.py:93} INFO - Página 56 buscada. Total de cervejarias até agora: 2800
[2026-03-16T06:39:27.122+0000] {subprocess.py:93} INFO - Página 57 buscada. Total de cervejarias até agora: 2850
[2026-03-16T06:39:27.122+0000] {subprocess.py:93} INFO - Página 58 buscada. Total de cervejarias até agora: 2900
[2026-03-16T06:39:27.122+0000] {subprocess.py:93} INFO - Página 59 buscada. Total de cervejarias até agora: 2950
[2026-03-16T06:39:27.122+0000] {subprocess.py:93} INFO - Página 60 buscada. Total de cervejarias até agora: 3000
[2026-03-16T06:39:27.123+0000] {subprocess.py:93} INFO - Página 61 buscada. Total de cervejarias até agora: 3050
[2026-03-16T06:39:27.123+0000] {subprocess.py:93} INFO - Página 62 buscada. Total de cervejarias até agora: 3100
[2026-03-16T06:39:27.123+0000] {subprocess.py:93} INFO - Página 63 buscada. Total de cervejarias até agora: 3150
[2026-03-16T06:39:27.123+0000] {subprocess.py:93} INFO - Página 64 buscada. Total de cervejarias até agora: 3200
[2026-03-16T06:39:27.124+0000] {subprocess.py:93} INFO - Página 65 buscada. Total de cervejarias até agora: 3250
[2026-03-16T06:39:27.124+0000] {subprocess.py:93} INFO - Página 66 buscada. Total de cervejarias até agora: 3300
[2026-03-16T06:39:27.124+0000] {subprocess.py:93} INFO - Página 67 buscada. Total de cervejarias até agora: 3350
[2026-03-16T06:39:27.125+0000] {subprocess.py:93} INFO - Página 68 buscada. Total de cervejarias até agora: 3400
[2026-03-16T06:39:27.125+0000] {subprocess.py:93} INFO - Página 69 buscada. Total de cervejarias até agora: 3450
[2026-03-16T06:39:27.125+0000] {subprocess.py:93} INFO - Página 70 buscada. Total de cervejarias até agora: 3500
[2026-03-16T06:39:27.125+0000] {subprocess.py:93} INFO - Página 71 buscada. Total de cervejarias até agora: 3550
[2026-03-16T06:39:27.126+0000] {subprocess.py:93} INFO - Página 72 buscada. Total de cervejarias até agora: 3600
[2026-03-16T06:39:27.126+0000] {subprocess.py:93} INFO - Página 73 buscada. Total de cervejarias até agora: 3650
[2026-03-16T06:39:27.126+0000] {subprocess.py:93} INFO - Página 74 buscada. Total de cervejarias até agora: 3700
[2026-03-16T06:39:27.126+0000] {subprocess.py:93} INFO - Página 75 buscada. Total de cervejarias até agora: 3750
[2026-03-16T06:39:27.127+0000] {subprocess.py:93} INFO - Página 76 buscada. Total de cervejarias até agora: 3800
[2026-03-16T06:39:27.127+0000] {subprocess.py:93} INFO - Página 77 buscada. Total de cervejarias até agora: 3850
[2026-03-16T06:39:27.127+0000] {subprocess.py:93} INFO - Página 78 buscada. Total de cervejarias até agora: 3900
[2026-03-16T06:39:27.127+0000] {subprocess.py:93} INFO - Página 79 buscada. Total de cervejarias até agora: 3950
[2026-03-16T06:39:27.127+0000] {subprocess.py:93} INFO - Página 80 buscada. Total de cervejarias até agora: 4000
[2026-03-16T06:39:27.128+0000] {subprocess.py:93} INFO - Página 81 buscada. Total de cervejarias até agora: 4050
[2026-03-16T06:39:27.128+0000] {subprocess.py:93} INFO - Página 82 buscada. Total de cervejarias até agora: 4100
[2026-03-16T06:39:27.128+0000] {subprocess.py:93} INFO - Página 83 buscada. Total de cervejarias até agora: 4150
[2026-03-16T06:39:27.128+0000] {subprocess.py:93} INFO - Página 84 buscada. Total de cervejarias até agora: 4200
[2026-03-16T06:39:27.129+0000] {subprocess.py:93} INFO - Página 85 buscada. Total de cervejarias até agora: 4250
[2026-03-16T06:39:27.129+0000] {subprocess.py:93} INFO - Página 86 buscada. Total de cervejarias até agora: 4300
[2026-03-16T06:39:27.129+0000] {subprocess.py:93} INFO - Página 87 buscada. Total de cervejarias até agora: 4350
[2026-03-16T06:39:27.129+0000] {subprocess.py:93} INFO - Página 88 buscada. Total de cervejarias até agora: 4400
[2026-03-16T06:39:27.130+0000] {subprocess.py:93} INFO - Página 89 buscada. Total de cervejarias até agora: 4450
[2026-03-16T06:39:27.130+0000] {subprocess.py:93} INFO - Página 90 buscada. Total de cervejarias até agora: 4500
[2026-03-16T06:39:27.130+0000] {subprocess.py:93} INFO - Página 91 buscada. Total de cervejarias até agora: 4550
[2026-03-16T06:39:27.130+0000] {subprocess.py:93} INFO - Página 92 buscada. Total de cervejarias até agora: 4600
[2026-03-16T06:39:27.131+0000] {subprocess.py:93} INFO - Página 93 buscada. Total de cervejarias até agora: 4650
[2026-03-16T06:39:27.131+0000] {subprocess.py:93} INFO - Página 94 buscada. Total de cervejarias até agora: 4700
[2026-03-16T06:39:27.131+0000] {subprocess.py:93} INFO - Página 95 buscada. Total de cervejarias até agora: 4750
[2026-03-16T06:39:27.132+0000] {subprocess.py:93} INFO - Página 96 buscada. Total de cervejarias até agora: 4800
[2026-03-16T06:39:27.132+0000] {subprocess.py:93} INFO - Página 97 buscada. Total de cervejarias até agora: 4850
[2026-03-16T06:39:27.132+0000] {subprocess.py:93} INFO - Página 98 buscada. Total de cervejarias até agora: 4900
[2026-03-16T06:39:27.133+0000] {subprocess.py:93} INFO - Página 99 buscada. Total de cervejarias até agora: 4950
[2026-03-16T06:39:27.133+0000] {subprocess.py:93} INFO - Página 100 buscada. Total de cervejarias até agora: 5000
[2026-03-16T06:39:27.133+0000] {subprocess.py:93} INFO - Página 101 buscada. Total de cervejarias até agora: 5050
[2026-03-16T06:39:27.133+0000] {subprocess.py:93} INFO - Página 102 buscada. Total de cervejarias até agora: 5100
[2026-03-16T06:39:27.134+0000] {subprocess.py:93} INFO - Página 103 buscada. Total de cervejarias até agora: 5150
[2026-03-16T06:39:27.134+0000] {subprocess.py:93} INFO - Página 104 buscada. Total de cervejarias até agora: 5200
[2026-03-16T06:39:27.134+0000] {subprocess.py:93} INFO - Página 105 buscada. Total de cervejarias até agora: 5250
[2026-03-16T06:39:27.134+0000] {subprocess.py:93} INFO - Página 106 buscada. Total de cervejarias até agora: 5300
[2026-03-16T06:39:27.135+0000] {subprocess.py:93} INFO - Página 107 buscada. Total de cervejarias até agora: 5350
[2026-03-16T06:39:27.135+0000] {subprocess.py:93} INFO - Página 108 buscada. Total de cervejarias até agora: 5400
[2026-03-16T06:39:27.135+0000] {subprocess.py:93} INFO - Página 109 buscada. Total de cervejarias até agora: 5450
[2026-03-16T06:39:27.136+0000] {subprocess.py:93} INFO - Página 110 buscada. Total de cervejarias até agora: 5500
[2026-03-16T06:39:27.137+0000] {subprocess.py:93} INFO - Página 111 buscada. Total de cervejarias até agora: 5550
[2026-03-16T06:39:27.137+0000] {subprocess.py:93} INFO - Página 112 buscada. Total de cervejarias até agora: 5600
[2026-03-16T06:39:27.138+0000] {subprocess.py:93} INFO - Página 113 buscada. Total de cervejarias até agora: 5650
[2026-03-16T06:39:27.138+0000] {subprocess.py:93} INFO - Página 114 buscada. Total de cervejarias até agora: 5700
[2026-03-16T06:39:27.138+0000] {subprocess.py:93} INFO - Página 115 buscada. Total de cervejarias até agora: 5750
[2026-03-16T06:39:27.139+0000] {subprocess.py:93} INFO - Página 116 buscada. Total de cervejarias até agora: 5800
[2026-03-16T06:39:27.139+0000] {subprocess.py:93} INFO - Página 117 buscada. Total de cervejarias até agora: 5850
[2026-03-16T06:39:27.139+0000] {subprocess.py:93} INFO - Página 118 buscada. Total de cervejarias até agora: 5900
[2026-03-16T06:39:27.140+0000] {subprocess.py:93} INFO - Página 119 buscada. Total de cervejarias até agora: 5950
[2026-03-16T06:39:27.140+0000] {subprocess.py:93} INFO - Página 120 buscada. Total de cervejarias até agora: 6000
[2026-03-16T06:39:27.140+0000] {subprocess.py:93} INFO - Página 121 buscada. Total de cervejarias até agora: 6050
[2026-03-16T06:39:27.141+0000] {subprocess.py:93} INFO - Página 122 buscada. Total de cervejarias até agora: 6100
[2026-03-16T06:39:27.141+0000] {subprocess.py:93} INFO - Página 123 buscada. Total de cervejarias até agora: 6150
[2026-03-16T06:39:27.142+0000] {subprocess.py:93} INFO - Página 124 buscada. Total de cervejarias até agora: 6200
[2026-03-16T06:39:27.142+0000] {subprocess.py:93} INFO - Página 125 buscada. Total de cervejarias até agora: 6250
[2026-03-16T06:39:27.143+0000] {subprocess.py:93} INFO - Página 126 buscada. Total de cervejarias até agora: 6300
[2026-03-16T06:39:27.143+0000] {subprocess.py:93} INFO - Página 127 buscada. Total de cervejarias até agora: 6350
[2026-03-16T06:39:27.144+0000] {subprocess.py:93} INFO - Página 128 buscada. Total de cervejarias até agora: 6400
[2026-03-16T06:39:27.144+0000] {subprocess.py:93} INFO - Página 129 buscada. Total de cervejarias até agora: 6450
[2026-03-16T06:39:27.145+0000] {subprocess.py:93} INFO - Página 130 buscada. Total de cervejarias até agora: 6500
[2026-03-16T06:39:27.145+0000] {subprocess.py:93} INFO - Página 131 buscada. Total de cervejarias até agora: 6550
[2026-03-16T06:39:27.146+0000] {subprocess.py:93} INFO - Página 132 buscada. Total de cervejarias até agora: 6600
[2026-03-16T06:39:27.146+0000] {subprocess.py:93} INFO - Página 133 buscada. Total de cervejarias até agora: 6650
[2026-03-16T06:39:27.147+0000] {subprocess.py:93} INFO - Página 134 buscada. Total de cervejarias até agora: 6700
[2026-03-16T06:39:27.147+0000] {subprocess.py:93} INFO - Página 135 buscada. Total de cervejarias até agora: 6750
