[2026-03-15T02:51:59.421+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T02:51:59.431+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T02:51:59.432+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-15T02:51:59.448+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-15 02:51:58.532779+00:00
[2026-03-15T02:51:59.471+0000] {standard_task_runner.py:60} INFO - Started process 3598 to run task
[2026-03-15T02:51:59.476+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'manual__2026-03-15T02:51:58.532779+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmpzo4chryk']
[2026-03-15T02:51:59.479+0000] {standard_task_runner.py:88} INFO - Job 9: Subtask extract_bronze_layer
[2026-03-15T02:51:59.495+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T02:51:59.573+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [running]> on host 7ae72f5da3a1
[2026-03-15T02:53:39.315+0000] {subprocess.py:93} INFO - Página 108 buscada. Total de cervejarias até agora: 5400
[2026-03-15T02:53:39.316+0000] {subprocess.py:93} INFO - Página 109 buscada. Total de cervejarias até agora: 5450
[2026-03-15T02:53:39.316+0000] {subprocess.py:93} INFO - Página 110 buscada. Total de cervejarias até agora: 5500
[2026-03-15T02:53:39.316+0000] {subprocess.py:93} INFO - Página 111 buscada. Total de cervejarias até agora: 5550
[2026-03-15T02:53:39.317+0000] {subprocess.py:93} INFO - Página 112 buscada. Total de cervejarias até agora: 5600
[2026-03-15T02:53:39.317+0000] {subprocess.py:93} INFO - Página 113 buscada. Total de cervejarias até agora: 5650
[2026-03-15T02:53:39.318+0000] {subprocess.py:93} INFO - Página 114 buscada. Total de cervejarias até agora: 5700
[2026-03-15T02:53:39.318+0000] {subprocess.py:93} INFO - Página 115 buscada. Total de cervejarias até agora: 5750
[2026-03-15T02:53:39.318+0000] {subprocess.py:93} INFO - Página 116 buscada. Total de cervejarias até agora: 5800
[2026-03-15T02:53:39.319+0000] {subprocess.py:93} INFO - Página 117 buscada. Total de cervejarias até agora: 5850
[2026-03-15T02:53:39.319+0000] {subprocess.py:93} INFO - Página 118 buscada. Total de cervejarias até agora: 5900
[2026-03-15T02:53:39.320+0000] {subprocess.py:93} INFO - Página 119 buscada. Total de cervejarias até agora: 5950
[2026-03-15T02:53:39.320+0000] {subprocess.py:93} INFO - Página 120 buscada. Total de cervejarias até agora: 6000
[2026-03-15T02:53:39.321+0000] {subprocess.py:93} INFO - Página 121 buscada. Total de cervejarias até agora: 6050
[2026-03-15T02:53:39.321+0000] {subprocess.py:93} INFO - Página 122 buscada. Total de cervejarias até agora: 6100
[2026-03-15T02:53:39.322+0000] {subprocess.py:93} INFO - Página 123 buscada. Total de cervejarias até agora: 6150
[2026-03-15T02:53:39.323+0000] {subprocess.py:93} INFO - Página 124 buscada. Total de cervejarias até agora: 6200
[2026-03-15T02:53:39.324+0000] {subprocess.py:93} INFO - Página 125 buscada. Total de cervejarias até agora: 6250
[2026-03-15T02:53:39.324+0000] {subprocess.py:93} INFO - Página 126 buscada. Total de cervejarias até agora: 6300
[2026-03-15T02:53:39.325+0000] {subprocess.py:93} INFO - Página 127 buscada. Total de cervejarias até agora: 6350
[2026-03-15T02:53:39.325+0000] {subprocess.py:93} INFO - Página 128 buscada. Total de cervejarias até agora: 6400
[2026-03-15T02:53:39.326+0000] {subprocess.py:93} INFO - Página 129 buscada. Total de cervejarias até agora: 6450
[2026-03-15T02:53:39.326+0000] {subprocess.py:93} INFO - Página 130 buscada. Total de cervejarias até agora: 6500
[2026-03-15T02:53:39.326+0000] {subprocess.py:93} INFO - Página 131 buscada. Total de cervejarias até agora: 6550
[2026-03-15T02:53:39.327+0000] {subprocess.py:93} INFO - Página 132 buscada. Total de cervejarias até agora: 6600
[2026-03-15T02:53:39.327+0000] {subprocess.py:93} INFO - Página 133 buscada. Total de cervejarias até agora: 6650
[2026-03-15T02:53:39.327+0000] {subprocess.py:93} INFO - Página 134 buscada. Total de cervejarias até agora: 6700
[2026-03-15T02:53:39.328+0000] {subprocess.py:93} INFO - Página 135 buscada. Total de cervejarias até agora: 6750
[2026-03-15T02:53:39.328+0000] {subprocess.py:93} INFO - Página 136 buscada. Total de cervejarias até agora: 6800
