[2026-03-15T03:01:01.071+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T03:01:01.081+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T03:01:01.082+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 3
[2026-03-15T03:01:01.098+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-15 02:51:58.532779+00:00
[2026-03-15T03:01:01.105+0000] {standard_task_runner.py:60} INFO - Started process 4107 to run task
[2026-03-15T03:01:01.109+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'manual__2026-03-15T02:51:58.532779+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmpy7neofp5']
[2026-03-15T03:01:01.111+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask extract_bronze_layer
[2026-03-15T03:01:01.128+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T03:01:01.180+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [running]> on host 7ae72f5da3a1
[2026-03-15T03:01:47.797+0000] {subprocess.py:93} INFO - Página 126 buscada. Total de cervejarias até agora: 6300
[2026-03-15T03:01:47.797+0000] {subprocess.py:93} INFO - Página 127 buscada. Total de cervejarias até agora: 6350
[2026-03-15T03:01:47.798+0000] {subprocess.py:93} INFO - Página 128 buscada. Total de cervejarias até agora: 6400
[2026-03-15T03:01:47.798+0000] {subprocess.py:93} INFO - Página 129 buscada. Total de cervejarias até agora: 6450
[2026-03-15T03:01:47.799+0000] {subprocess.py:93} INFO - Página 130 buscada. Total de cervejarias até agora: 6500
[2026-03-15T03:01:47.799+0000] {subprocess.py:93} INFO - Página 131 buscada. Total de cervejarias até agora: 6550
[2026-03-15T03:01:47.800+0000] {subprocess.py:93} INFO - Página 132 buscada. Total de cervejarias até agora: 6600
[2026-03-15T03:01:47.800+0000] {subprocess.py:93} INFO - Página 133 buscada. Total de cervejarias até agora: 6650
[2026-03-15T03:01:47.800+0000] {subprocess.py:93} INFO - Página 134 buscada. Total de cervejarias até agora: 6700
[2026-03-15T03:01:47.801+0000] {subprocess.py:93} INFO - Página 135 buscada. Total de cervejarias até agora: 6750
[2026-03-15T03:01:47.801+0000] {subprocess.py:93} INFO - Página 136 buscada. Total de cervejarias até agora: 6800
[2026-03-15T03:01:47.802+0000] {subprocess.py:93} INFO - Página 137 buscada. Total de cervejarias até agora: 6850
[2026-03-15T03:01:47.802+0000] {subprocess.py:93} INFO - Página 138 buscada. Total de cervejarias até agora: 6900
[2026-03-15T03:02:04.349+0000] {subprocess.py:93} INFO - Página 139 buscada. Total de cervejarias até agora: 6950
